,localhour,air1,furnace1,waterheater1,total
0,12/17/2013 19:00,0,0,219.7333333,219.7333333
1,12/17/2013 20:00,0,0,0,0
2,12/17/2013 21:00,0,0,188.2833333,188.2833333
3,12/17/2013 22:00,0,0,0,0
4,12/17/2013 23:00,0,0,0,0
5,12/18/2013 0:00,0,0,0,0
6,12/18/2013 1:00,0,0,187.5833333,187.5833333
7,12/18/2013 2:00,0,0,0,0
8,12/18/2013 3:00,0,0,0,0
9,12/18/2013 4:00,0,0,0,0
10,12/18/2013 5:00,0,0,0,0
11,12/18/2013 6:00,0,0,0,0
12,12/18/2013 7:00,0,0,189.6,189.6
13,12/18/2013 8:00,0,0,0,0
14,12/18/2013 9:00,0,0,0,0
15,12/18/2013 10:00,0,0,192.3666667,192.3666667
16,12/18/2013 11:00,0,0,0,0
17,12/18/2013 12:00,0,0,0,0
18,12/18/2013 13:00,0,0,0,0
19,12/18/2013 14:00,0,0,0,0
20,12/18/2013 15:00,0,0,194.0333333,194.0333333
21,12/18/2013 16:00,0,0,1051.466667,1051.466667
22,12/18/2013 17:00,0.1,0.433333333,793.9333333,794.4666667
23,12/18/2013 18:00,0.45,2.516666667,404.8666667,407.8333333
24,12/18/2013 19:00,0,0.6,0,0.6
25,12/18/2013 20:00,0,0,202.0333333,202.0333333
26,12/18/2013 21:00,0,0,0,0
27,12/18/2013 22:00,0,0,25.2,25.2
28,12/18/2013 23:00,0,0,154.7333333,154.7333333
29,12/19/2013 0:00,0,0,0,0
30,12/19/2013 1:00,0,0,0,0
31,12/19/2013 2:00,0,0,0,0
32,12/19/2013 3:00,0,0,123.3166667,123.3166667
33,12/19/2013 4:00,0,0,59.36666667,59.36666667
34,12/19/2013 5:00,0,0,0,0
35,12/19/2013 6:00,0,0,0,0
36,12/19/2013 7:00,0,0,184.8833333,184.8833333
37,12/19/2013 8:00,0,0,184.4333333,184.4333333
38,12/19/2013 9:00,0,0,407.5166667,407.5166667
39,12/19/2013 10:00,0,0,537.1833333,537.1833333
40,12/19/2013 11:00,0,0,1657.6,1657.6
41,12/19/2013 12:00,0,0.8,970.9333333,971.7333333
