,utc_timestamp,cet_cest_timestamp,DE_KN_residential4_dishwasher,DE_KN_residential4_ev,DE_KN_residential4_freezer,DE_KN_residential4_grid_import,DE_KN_residential4_heat_pump,DE_KN_residential4_refrigerator,DE_KN_residential4_washing_machine
0,2015-10-04T02:00:00Z,2015-10-04T04:00:00+0200,0.0122,0.1084,0.0182,1065.17250002,-848.74059999,0.0168,0.0122
1,2015-10-04T03:00:00Z,2015-10-04T05:00:00+0200,0.0244,0.2168,0.0364,1066.44440016,-847.45159992,0.0336,0.0244
2,2015-10-04T04:00:00Z,2015-10-04T06:00:00+0200,0.0366,0.3252,0.0546,1067.71570054,-846.16299973,0.0504,0.0366
3,2015-10-04T05:00:00Z,2015-10-04T07:00:00+0200,0.0488,0.4336,0.0728,1068.98640128,-844.87479936,0.0672,0.0488
4,2015-10-04T06:00:00Z,2015-10-04T08:00:00+0200,0.061,0.542,0.091,1070.2565025,-843.58699875,0.084,0.061
5,2015-10-04T07:00:00Z,2015-10-04T09:00:00+0200,0.0732,0.6504,0.1092,1071.52600432,-842.29959784,0.1008,0.0732
6,2015-10-04T08:00:00Z,2015-10-04T10:00:00+0200,0.0854,0.7588,0.1274,1072.79490686,-841.01259657,0.1176,0.0854
7,2015-10-04T09:00:00Z,2015-10-04T11:00:00+0200,0.0976,0.8672,0.1456,1074.06321024,-839.72599488,0.1344,0.0976
8,2015-10-04T10:00:00Z,2015-10-04T12:00:00+0200,0.1098,0.9756,0.1638,1075.33091458,-838.43979271,0.1512,0.1098
9,2015-10-04T11:00:00Z,2015-10-04T13:00:00+0200,0.122,1.084,0.182,1076.59802,-837.15399,0.168,0.122
10,2015-10-04T12:00:00Z,2015-10-04T14:00:00+0200,0.1342,1.1924,0.2002,1077.86452662,-835.86858669,0.1848,0.1342
11,2015-10-04T13:00:00Z,2015-10-04T15:00:00+0200,0.1464,1.3008,0.2184,1079.13043456,-834.58358272,0.2016,0.1464
12,2015-10-04T14:00:00Z,2015-10-04T16:00:00+0200,0.1586,1.4092,0.2366,1080.39574394,-833.29897803,0.2184,0.1586
13,2015-10-04T15:00:00Z,2015-10-04T17:00:00+0200,0.1708,1.5176,0.2548,1081.66045488,-832.01477256,0.2352,0.1708
14,2015-10-04T16:00:00Z,2015-10-04T18:00:00+0200,0.183,1.626,0.273,1082.9245675,-830.73096625,0.252,0.183
15,2015-10-04T17:00:00Z,2015-10-04T19:00:00+0200,0.1952,1.7344,0.2912,1084.18808192,-829.44755904,0.2688,0.1952
16,2015-10-04T18:00:00Z,2015-10-04T20:00:00+0200,0.2074,1.8428,0.3094,1085.45099826,-828.16455087,0.2856,0.2074
17,2015-10-04T19:00:00Z,2015-10-04T21:00:00+0200,0.2196,1.9512,0.3276,1086.71331664,-826.88194168,0.3024,0.2196
18,2015-10-04T20:00:00Z,2015-10-04T22:00:00+0200,0.2318,2.0596,0.3458,1087.97503718,-825.59973141,0.3192,0.2318
