,localhour,air1,furnace1,waterheater1,total
2500,2014-04-01 00:00:00-05,0.0,0.0,0.0,0.0
2501,2014-04-01 01:00:00-05,0.0,0.0,202.03333333333327,202.03333333333327
2502,2014-04-01 02:00:00-05,0.0,0.0,0.0,0.0
2503,2014-04-01 03:00:00-05,0.0,0.0,0.0,0.0
2504,2014-04-01 04:00:00-05,0.0,0.0,0.0,0.0
2505,2014-04-01 05:00:00-05,0.0,0.0,0.0,0.0
2506,2014-04-01 06:00:00-05,0.0,0.0,0.0,0.0
2507,2014-04-01 07:00:00-05,0.0,0.0,437.01666666666654,437.01666666666654
2508,2014-04-01 08:00:00-05,0.0,0.0,258.0333333333333,258.0333333333333
2509,2014-04-01 09:00:00-05,0.0,73.91666666666664,475.3333333333332,549.2499999999999
2510,2014-04-01 10:00:00-05,0.0,0.0,558.5,558.5
2511,2014-04-01 11:00:00-05,0.0,99.68333333333332,456.7666666666666,556.4499999999999
2512,2014-04-01 12:00:00-05,0.0,86.93333333333332,196.88333333333327,283.8166666666666
2513,2014-04-01 13:00:00-05,0.0,0.0,0.0,0.0
2514,2014-04-01 14:00:00-05,0.0,0.0,182.81666666666663,182.81666666666663
2515,2014-04-01 15:00:00-05,0.0,64.78333333333333,0.0,64.78333333333333
2516,2014-04-01 16:00:00-05,0.0,0.0,0.0,0.0
2517,2014-04-01 17:00:00-05,0.0,0.0,201.25,201.25
2518,2014-04-01 18:00:00-05,0.0,0.0,0.0,0.0
2519,2014-04-01 19:00:00-05,0.0,58.33333333333333,0.0,58.33333333333333
2520,2014-04-01 20:00:00-05,0.0,0.0,0.0,0.0
2521,2014-04-01 21:00:00-05,0.0,0.0,0.0,0.0
2522,2014-04-01 22:00:00-05,0.0,0.0,0.0,0.0
2523,2014-04-01 23:00:00-05,0.0,0.0,0.0,0.0
2524,2014-04-02 00:00:00-05,0.0,0.0,197.71666666666664,197.71666666666664
2525,2014-04-02 01:00:00-05,0.0,0.0,0.0,0.0
2526,2014-04-02 02:00:00-05,0.0,0.0,0.0,0.0
2527,2014-04-02 03:00:00-05,0.0,0.0,0.0,0.0
2528,2014-04-02 04:00:00-05,0.0,0.0,0.0,0.0
2529,2014-04-02 05:00:00-05,0.0,0.0,0.0,0.0
2530,2014-04-02 06:00:00-05,0.0,0.0,192.03333333333327,192.03333333333327
2531,2014-04-02 07:00:00-05,0.0,0.0,0.0,0.0
2532,2014-04-02 08:00:00-05,0.0,0.0,0.0,0.0
2533,2014-04-02 09:00:00-05,0.0,0.0,0.0,0.0
2534,2014-04-02 10:00:00-05,0.0,0.0,193.66666666666666,193.66666666666666
2535,2014-04-02 11:00:00-05,0.0,0.0,0.0,0.0
2536,2014-04-02 12:00:00-05,0.0,0.0,204.76666666666665,204.76666666666665
2537,2014-04-02 13:00:00-05,0.0,0.0,0.0,0.0
2538,2014-04-02 14:00:00-05,0.0,65.71666666666665,0.0,65.71666666666665
2539,2014-04-02 15:00:00-05,0.0,165.61666666666667,1277.3166666666668,1442.9333333333336
2540,2014-04-02 16:00:00-05,0.0,0.65,684.2833333333332,684.9333333333333
2541,2014-04-02 17:00:00-05,0.0,65.05,420.1833333333333,485.2333333333333
2542,2014-04-02 18:00:00-05,0.0,0.25,0.0,0.25
2543,2014-04-02 19:00:00-05,0.0,43.51666666666666,0.0,43.51666666666666
