,localhour,air1,air2,air3,furnace1,furnace2,waterheater1,total_thermal_load
0,2013-03-23 08:00:00-05,0.0,0.0,0.0,5.8999999999999995,10.0,0.0,15.9
1,2013-03-23 09:00:00-05,0.0,0.0,0.0,4.916666666666666,10.0,0.0,14.916666666666666
2,2013-03-23 10:00:00-05,0.0,0.0,0.0,5.8999999999999995,76.28333333333333,181.56666666666663,263.74999999999994
3,2013-03-23 11:00:00-05,0.0,0.0,0.0,5.8999999999999995,76.03333333333333,1324.7666666666669,1406.7000000000003
4,2013-03-23 12:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
5,2013-03-23 13:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
6,2013-03-23 14:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
7,2013-03-23 15:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
8,2013-03-23 16:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
9,2013-03-23 17:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
10,2013-03-23 18:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
11,2013-03-23 19:00:00-05,0.0,0.0,0.0,5.966666666666666,10.116666666666665,121.75,137.83333333333334
12,2013-03-23 20:00:00-05,0.0,0.0,0.0,5.95,10.0,186.0,201.95
13,2013-03-23 21:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
14,2013-03-23 22:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
15,2013-03-23 23:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
16,2013-03-24 00:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
17,2013-03-24 01:00:00-05,0.0,0.0,0.0,5.933333333333333,10.0,372.25,388.1833333333334
18,2013-03-24 02:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
19,2013-03-24 03:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
20,2013-03-24 04:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
21,2013-03-24 05:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
22,2013-03-24 06:00:00-05,0.0,0.0,0.0,6.0,9.916666666666666,0.0,15.916666666666666
23,2013-03-24 07:00:00-05,0.0,0.0,0.0,5.95,140.1833333333333,381.58333333333326,527.7166666666666
24,2013-03-24 08:00:00-05,0.0,0.0,0.0,6.0,111.4,0.0,117.4
25,2013-03-24 09:00:00-05,0.0,0.0,0.0,6.0,150.63333333333333,0.0,156.63333333333333
26,2013-03-24 10:00:00-05,0.0,0.0,0.0,2.5,134.75,0.0,137.25
27,2013-03-24 11:00:00-05,0.0,0.0,0.0,4.283333333333332,136.0,0.0,140.28333333333333
28,2013-03-24 12:00:00-05,0.0,0.0,0.0,6.0,134.93333333333328,0.0,140.9333333333333
29,2013-03-24 13:00:00-05,0.0,0.0,0.0,6.0,76.05000000000001,0.0,82.05000000000001
30,2013-03-24 14:00:00-05,0.0,0.0,0.0,6.0,76.25,0.0,82.25
31,2013-03-24 15:00:00-05,0.0,0.0,0.0,6.0,76.64999999999999,0.0,82.65
32,2013-03-24 16:00:00-05,0.0,0.0,0.0,6.25,68.15,382.5,456.90000000000003
33,2013-03-24 17:00:00-05,0.0,0.0,0.0,6.0,18.21666666666666,0.0,24.216666666666665
34,2013-03-24 18:00:00-05,0.0,0.0,0.0,6.0,10.0,0.0,16.0
