utc_timestamp,cet_cest_timestamp,DE_KN_residential4_dishwasher,DE_KN_residential4_ev,DE_KN_residential4_freezer,DE_KN_residential4_grid_export,DE_KN_residential4_grid_import,DE_KN_residential4_heat_pump,DE_KN_residential4_pv,DE_KN_residential4_refrigerator,DE_KN_residential4_washing_machine,interpolated_values
2015-10-04T01:00:00Z,2015-10-04T03:00:00+0200,,,,,,0.000,,,,
2015-10-04T02:00:00Z,2015-10-04T04:00:00+0200,,,,,,0.020,,,,
2015-10-04T03:00:00Z,2015-10-04T05:00:00+0200,,,,,,0.030,,,,
2015-10-04T04:00:00Z,2015-10-04T06:00:00+0200,,,,,,0.040,,,,
2015-10-04T05:00:00Z,2015-10-04T07:00:00+0200,,,,,,0.060,,,,
2015-10-04T06:00:00Z,2015-10-04T08:00:00+0200,,,,,,0.070,,,,
2015-10-04T07:00:00Z,2015-10-04T09:00:00+0200,,,,,,0.080,,,,
2015-10-04T08:00:00Z,2015-10-04T10:00:00+0200,,,,,,0.100,,,,
2015-10-04T09:00:00Z,2015-10-04T11:00:00+0200,,,,,,0.110,,,,
2015-10-04T10:00:00Z,2015-10-04T12:00:00+0200,,,,,,0.120,,,,
2015-10-04T11:00:00Z,2015-10-04T13:00:00+0200,,,,,,0.130,,,,
2015-10-04T12:00:00Z,2015-10-04T14:00:00+0200,,,,,,,,,,
2015-10-04T13:00:00Z,2015-10-04T15:00:00+0200,,,,,,,,,,
2015-10-04T14:00:00Z,2015-10-04T16:00:00+0200,,,,,,,,,,
2015-10-04T15:00:00Z,2015-10-04T17:00:00+0200,,,,,,,,,,
2015-10-04T16:00:00Z,2015-10-04T18:00:00+0200,,,,,,,,,,
2015-10-04T17:00:00Z,2015-10-04T19:00:00+0200,,,,,,,,,,
2015-10-04T18:00:00Z,2015-10-04T20:00:00+0200,,,,,,,,,,
2015-10-04T19:00:00Z,2015-10-04T21:00:00+0200,,,,,,,,,,
2015-10-04T20:00:00Z,2015-10-04T22:00:00+0200,,,,,,,,,,
2015-10-04T21:00:00Z,2015-10-04T23:00:00+0200,,,,,,,,,,
2015-10-04T22:00:00Z,2015-10-05T00:00:00+0200,,,,,,,,,,
2015-10-04T23:00:00Z,2015-10-05T01:00:00+0200,,,,,,,,,,
2015-10-05T00:00:00Z,2015-10-05T02:00:00+0200,,,,,,,,,,
2015-10-05T01:00:00Z,2015-10-05T03:00:00+0200,,,,,,,,,,
2015-10-05T02:00:00Z,2015-10-05T04:00:00+0200,,,,,,,,,,
2015-10-05T03:00:00Z,2015-10-05T05:00:00+0200,,,,,,,,,,
2015-10-05T04:00:00Z,2015-10-05T06:00:00+0200,,,,,,,,,,
2015-10-05T05:00:00Z,2015-10-05T07:00:00+0200,,,,,,,,,,
2015-10-05T06:00:00Z,2015-10-05T08:00:00+0200,,,,,,,,,,
2015-10-05T07:00:00Z,2015-10-05T09:00:00+0200,,,,,,,,,,
2015-10-05T08:00:00Z,2015-10-05T10:00:00+0200,,,,,,,,,,
2015-10-05T09:00:00Z,2015-10-05T11:00:00+0200,,,,,,,,,,
2015-10-05T10:00:00Z,2015-10-05T12:00:00+0200,,,,,,,,,,
2015-10-05T11:00:00Z,2015-10-05T13:00:00+0200,,,,,,,,,,
2015-10-05T12:00:00Z,2015-10-05T14:00:00+0200,,,,,,,,,,
2015-10-05T13:00:00Z,2015-10-05T15:00:00+0200,,,,,,,,,,
2015-10-05T14:00:00Z,2015-10-05T16:00:00+0200,,,,,,,,,,
2015-10-05T15:00:00Z,2015-10-05T17:00:00+0200,,,,,,,,,,
2015-10-05T16:00:00Z,2015-10-05T18:00:00+0200,,,,,,,,,,
2015-10-05T17:00:00Z,2015-10-05T19:00:00+0200,,,,,,,,,,
2015-10-05T18:00:00Z,2015-10-05T20:00:00+0200,,,,,,,,,,
2015-10-05T19:00:00Z,2015-10-05T21:00:00+0200,,,,,,,,,,
2015-10-05T20:00:00Z,2015-10-05T22:00:00+0200,,,,,,,,,,
2015-10-05T21:00:00Z,2015-10-05T23:00:00+0200,,,,,,,,,,
2015-10-05T22:00:00Z,2015-10-06T00:00:00+0200,,,,,,,,,,
2015-10-05T23:00:00Z,2015-10-06T01:00:00+0200,,,,,,,,,,
2015-10-06T00:00:00Z,2015-10-06T02:00:00+0200,,,,,,,,,,
2015-10-06T01:00:00Z,2015-10-06T03:00:00+0200,,,,,,,,,,
2015-10-06T02:00:00Z,2015-10-06T04:00:00+0200,,,,,,,,,,
2015-10-06T03:00:00Z,2015-10-06T05:00:00+0200,,,,,,,,,,
2015-10-06T04:00:00Z,2015-10-06T06:00:00+0200,,,,,,,,,,
2015-10-06T05:00:00Z,2015-10-06T07:00:00+0200,,,,,,,,,,
2015-10-06T06:00:00Z,2015-10-06T08:00:00+0200,,,,,,,,,,
2015-10-06T07:00:00Z,2015-10-06T09:00:00+0200,,,,,,,,,,
2015-10-06T08:00:00Z,2015-10-06T10:00:00+0200,,,,,,,,,,
2015-10-06T09:00:00Z,2015-10-06T11:00:00+0200,,,,,,,,,,
2015-10-06T10:00:00Z,2015-10-06T12:00:00+0200,,,,,,,,,,
2015-10-06T11:00:00Z,2015-10-06T13:00:00+0200,,,,,,,,,,
2015-10-06T12:00:00Z,2015-10-06T14:00:00+0200,,,,,,,,,,
2015-10-06T13:00:00Z,2015-10-06T15:00:00+0200,,,,,,,,,,
2015-10-06T14:00:00Z,2015-10-06T16:00:00+0200,,,,,,,,,,
2015-10-06T15:00:00Z,2015-10-06T17:00:00+0200,,,,,,,,,,
2015-10-06T16:00:00Z,2015-10-06T18:00:00+0200,,,,,,,,,,
2015-10-06T17:00:00Z,2015-10-06T19:00:00+0200,,,,,,,,,,
2015-10-06T18:00:00Z,2015-10-06T20:00:00+0200,,,,,,,,,,
2015-10-06T19:00:00Z,2015-10-06T21:00:00+0200,,,,,,,,,,
2015-10-06T20:00:00Z,2015-10-06T22:00:00+0200,,,,,,,,,,
2015-10-06T21:00:00Z,2015-10-06T23:00:00+0200,,,,,,,,,,
2015-10-06T22:00:00Z,2015-10-07T00:00:00+0200,,,,,,,,,,
2015-10-06T23:00:00Z,2015-10-07T01:00:00+0200,,,,,,,,,,
2015-10-07T00:00:00Z,2015-10-07T02:00:00+0200,,,,,,,,,,
2015-10-07T01:00:00Z,2015-10-07T03:00:00+0200,,,,,,,,,,
2015-10-07T02:00:00Z,2015-10-07T04:00:00+0200,,,,,,,,,,
2015-10-07T03:00:00Z,2015-10-07T05:00:00+0200,,,,,,,,,,
2015-10-07T04:00:00Z,2015-10-07T06:00:00+0200,,,,,,,,,,
2015-10-07T05:00:00Z,2015-10-07T07:00:00+0200,,,,,,,,,,
2015-10-07T06:00:00Z,2015-10-07T08:00:00+0200,,,,,,,,,,
2015-10-07T07:00:00Z,2015-10-07T09:00:00+0200,,,,,,,,,,
2015-10-07T08:00:00Z,2015-10-07T10:00:00+0200,,,,,,,,,,
2015-10-07T09:00:00Z,2015-10-07T11:00:00+0200,,,,,,,,,,
2015-10-07T10:00:00Z,2015-10-07T12:00:00+0200,,,,,,,,,,
2015-10-07T11:00:00Z,2015-10-07T13:00:00+0200,,,,,,,,,,
2015-10-07T12:00:00Z,2015-10-07T14:00:00+0200,,,,,,,,,,
2015-10-07T13:00:00Z,2015-10-07T15:00:00+0200,,,,,,,,,,
2015-10-07T14:00:00Z,2015-10-07T16:00:00+0200,,,,,,,,,,
2015-10-07T15:00:00Z,2015-10-07T17:00:00+0200,,,,,,,,,,
2015-10-07T16:00:00Z,2015-10-07T18:00:00+0200,,,,,,,,,,
2015-10-07T17:00:00Z,2015-10-07T19:00:00+0200,,,,,,,,,,
2015-10-07T18:00:00Z,2015-10-07T20:00:00+0200,,,,,,,,,,
2015-10-07T19:00:00Z,2015-10-07T21:00:00+0200,,,,,,,,,,
2015-10-07T20:00:00Z,2015-10-07T22:00:00+0200,,,,,,,,,,
2015-10-07T21:00:00Z,2015-10-07T23:00:00+0200,,,,,,,,,,
2015-10-07T22:00:00Z,2015-10-08T00:00:00+0200,,,,,,,,,,
2015-10-07T23:00:00Z,2015-10-08T01:00:00+0200,,,,,,,,,,
2015-10-08T00:00:00Z,2015-10-08T02:00:00+0200,,,,,,,,,,
2015-10-08T01:00:00Z,2015-10-08T03:00:00+0200,,,,,,,,,,
2015-10-08T02:00:00Z,2015-10-08T04:00:00+0200,,,,,,,,,,
2015-10-08T03:00:00Z,2015-10-08T05:00:00+0200,,,,,,,,,,
2015-10-08T04:00:00Z,2015-10-08T06:00:00+0200,,,,,,,,,,
2015-10-08T05:00:00Z,2015-10-08T07:00:00+0200,,,,,,,,,,
2015-10-08T06:00:00Z,2015-10-08T08:00:00+0200,,,,,,,,,,
2015-10-08T07:00:00Z,2015-10-08T09:00:00+0200,,,,,,,,,,
2015-10-08T08:00:00Z,2015-10-08T10:00:00+0200,,,,,,,,,,
2015-10-08T09:00:00Z,2015-10-08T11:00:00+0200,,,,,,,,,,
2015-10-08T10:00:00Z,2015-10-08T12:00:00+0200,,,,,,,,,,
2015-10-08T11:00:00Z,2015-10-08T13:00:00+0200,,,,,,,,,,
2015-10-08T12:00:00Z,2015-10-08T14:00:00+0200,,,,,,,,,,
2015-10-08T13:00:00Z,2015-10-08T15:00:00+0200,,,,,,,,,,
2015-10-08T14:00:00Z,2015-10-08T16:00:00+0200,,,,,,,,,,
2015-10-08T15:00:00Z,2015-10-08T17:00:00+0200,,,,,,,,,,
2015-10-08T16:00:00Z,2015-10-08T18:00:00+0200,,,,,,,,,,
2015-10-08T17:00:00Z,2015-10-08T19:00:00+0200,,,,,,,,,,
