,localhour,air1,air2,air3,furnace1,furnace2,waterheater1,total_thermal_load
0,2013-03-23 08:00:00-05,0.0,0.0,0.0,142.41666666666666,502.5333333333333,2567.916666666667,3212.866666666667
1,2013-03-24 08:00:00-05,0.0,0.0,0.0,4182.116666666667,2967.8499999999995,1473.55,8623.516666666666
2,2013-03-25 08:00:00-05,0.15,0.3833333333333333,0.0,10421.066666666668,3787.1333333333337,5991.666666666666,20200.399999999998
3,2013-03-26 08:00:00-05,0.0,0.0,0.0,5657.583333333332,2665.8999999999996,1437.4499999999998,9760.933333333332
4,2013-03-27 08:00:00-05,0.1333333333333333,0.0,0.0,3477.0,1465.533333333333,4167.75,9110.416666666666
5,2013-03-28 08:00:00-05,0.0,0.0,0.0,141.38333333333333,307.5,1409.8333333333333,1858.7166666666665
6,2013-03-29 08:00:00-05,0.0,0.0,0.0,140.65,240.58333333333334,2511.5666666666666,2892.7999999999997
7,2013-03-30 08:00:00-05,469.1166666666666,352.2,0.0,140.31666666666666,452.96666666666664,2469.4833333333336,3884.083333333333
8,2013-03-31 08:00:00-05,0.0,0.0,0.0,142.38333333333333,240.45000000000002,1534.1999999999998,1917.033333333333
9,2013-04-01 08:00:00-05,779.0666666666666,0.0,0.0,140.11666666666665,239.78333333333333,1922.8666666666668,3081.8333333333326
10,2013-04-02 08:00:00-05,0.0,0.0,0.0,130.03333333333336,227.58333333333334,2222.2,2579.816666666666
11,2013-04-03 08:00:00-05,0.11666666666666668,0.4666666666666667,0.0,19596.03333333333,582.0333333333333,5099.199999999999,25277.84999999999
12,2013-04-04 08:00:00-05,52.849999999999994,6.283333333333333,0.0,11659.783333333335,947.9833333333332,2901.016666666667,15567.916666666666
13,2013-04-05 08:00:00-05,0.6,1.3166666666666667,0.0,1165.9,1014.2166666666666,2356.6333333333328,4538.666666666665
14,2013-04-06 08:00:00-05,3.333333333333333,1.4,0.0,2324.883333333333,240.5,4459.766666666666,7029.883333333333
15,2013-04-07 08:00:00-05,1.0499999999999998,0.55,0.0,135.08333333333334,239.70000000000002,1078.7666666666664,1455.1499999999999
16,2013-04-08 08:00:00-05,3.5,0.6333333333333333,0.0,139.9,239.96666666666667,4056.416666666666,4440.416666666666
17,2013-04-09 08:00:00-05,2052.0833333333335,0.3666666666666667,0.0,141.5,238.31666666666663,1238.0666666666666,3670.333333333333
18,2013-04-10 08:00:00-05,0.6666666666666667,9.466666666666669,0.0,18769.5,239.85,3865.683333333333,22885.166666666664
19,2013-04-11 08:00:00-05,1.0833333333333333,6.866666666666667,0.0,10862.549999999997,240.0,3081.983333333333,14192.483333333334
20,2013-04-12 08:00:00-05,0.5166666666666666,1.4833333333333334,0.0,2253.9666666666667,239.79999999999998,2073.6666666666665,4569.433333333333
21,2013-04-13 08:00:00-05,3.533333333333333,0.43333333333333335,0.0,315.83333333333326,240.83333333333331,3106.683333333333,3667.3166666666657
22,2013-04-14 08:00:00-05,3.5166666666666666,0.4833333333333333,0.0,140.64999999999998,240.95000000000002,1058.4833333333331,1444.0833333333333
23,2013-04-15 08:00:00-05,4386.083333333333,0.6666666666666667,0.0,127.7,216.61666666666665,3949.8666666666663,8680.933333333332
24,2013-04-16 08:00:00-05,5086.45,0.5333333333333333,0.0,140.95000000000002,234.41666666666666,1023.0666666666666,6485.416666666667
25,2013-04-17 08:00:00-05,3526.7166666666662,0.26666666666666666,0.0,138.78333333333333,236.95,2033.2833333333333,5935.999999999999
26,2013-04-18 08:00:00-05,2.633333333333333,7.35,0.0,10967.416666666666,240.45,2947.333333333333,14165.183333333334
27,2013-04-19 08:00:00-05,1.8,6.25,0.0,10537.716666666667,240.6,3102.116666666667,13888.48333333333
28,2013-04-20 08:00:00-05,0.9333333333333333,3.6999999999999997,0.0,6287.816666666666,239.75,1333.083333333333,7865.283333333332
29,2013-04-21 08:00:00-05,4.75,1.8333333333333335,0.0,2201.05,240.86666666666667,4016.6499999999996,6465.15
30,2013-04-22 08:00:00-05,3.05,1.3,0.0,2027.4833333333327,240.46666666666667,1594.0833333333333,3866.3833333333323
31,2013-04-23 08:00:00-05,1.0,8.1,0.0,14732.316666666666,239.8,1874.8499999999995,16856.066666666666
32,2013-04-24 08:00:00-05,3.4166666666666665,5.133333333333334,0.0,9448.9,239.91666666666666,3792.5999999999995,13489.966666666665
33,2013-04-25 08:00:00-05,7.283333333333333,2.8333333333333326,0.0,1946.9166666666663,241.10000000000002,3122.5999999999995,5320.733333333333
34,2013-04-26 08:00:00-05,1.4,2.5166666666666666,0.0,1111.05,239.7833333333333,1024.1166666666663,2378.866666666667
35,2013-04-27 08:00:00-05,3777.4666666666662,3.4833333333333334,0.0,141.5,236.7333333333333,3093.6666666666665,7252.8499999999985
