,transi_dtmdatetime,dayslot,occ
0,2014-01-01,1,649
1,2014-01-01,2,1298
2,2014-01-01,3,1300
3,2014-01-01,4,1221
4,2014-01-01,5,1173
5,2014-01-02,1,0
6,2014-01-02,2,816
7,2014-01-02,3,1219
8,2014-01-02,4,1141
9,2014-01-02,5,1023
10,2014-01-03,1,0
11,2014-01-03,2,851
12,2014-01-03,3,1108
13,2014-01-03,4,1003
14,2014-01-03,5,1166
15,2014-01-04,1,760
16,2014-01-04,2,1176
17,2014-01-04,3,1282
18,2014-01-04,4,1151
19,2014-01-04,5,1228
20,2014-01-05,1,856
21,2014-01-05,2,1193
22,2014-01-05,3,1297
23,2014-01-05,4,1183
24,2014-01-05,5,1102
25,2014-01-06,1,0
26,2014-01-06,2,687
27,2014-01-06,3,980
28,2014-01-06,4,746
29,2014-01-06,5,969
30,2014-01-07,1,0
31,2014-01-07,2,714
32,2014-01-07,3,901
33,2014-01-07,4,739
34,2014-01-07,5,944
35,2014-01-08,1,0
36,2014-01-08,2,716
37,2014-01-08,3,818
38,2014-01-08,4,706
39,2014-01-08,5,901
40,2014-01-09,1,0
41,2014-01-09,2,785
42,2014-01-09,3,886
43,2014-01-09,4,882
44,2014-01-09,5,830
45,2014-01-10,1,1282
46,2014-01-10,2,1252
47,2014-01-10,3,1235
48,2014-01-10,4,1270
49,2014-01-10,5,1244
50,2014-01-11,1,827
51,2014-01-11,2,1197
52,2014-01-11,3,1244
53,2014-01-11,4,1245
54,2014-01-11,5,1253
55,2014-01-12,1,958
56,2014-01-12,2,1208
57,2014-01-12,3,1248
58,2014-01-12,4,1248
59,2014-01-12,5,1222
60,2014-01-13,1,878
61,2014-01-13,2,1195
62,2014-01-13,3,1214
63,2014-01-13,4,1203
64,2014-01-13,5,1221
65,2014-01-14,1,988
66,2014-01-14,2,1225
67,2014-01-14,3,1253
68,2014-01-14,4,1244
69,2014-01-14,5,1213
70,2014-01-15,1,989
71,2014-01-15,2,1215
72,2014-01-15,3,1247
73,2014-01-15,4,1197
74,2014-01-15,5,1215
75,2014-01-16,1,778
76,2014-01-16,2,1228
77,2014-01-16,3,1254
78,2014-01-16,4,1242
79,2014-01-16,5,1175
80,2014-01-17,1,0
81,2014-01-17,2,1154
82,2014-01-17,3,1077
83,2014-01-17,4,1228
84,2014-01-17,5,1184
85,2014-01-18,1,947
86,2014-01-18,2,1205
87,2014-01-18,3,1189
88,2014-01-18,4,1235
89,2014-01-18,5,1234
90,2014-01-19,1,1159
91,2014-01-19,2,1211
92,2014-01-19,3,1245
93,2014-01-19,4,1223
94,2014-01-19,5,1099
95,2014-01-20,1,0
96,2014-01-20,2,924
97,2014-01-20,3,1109
98,2014-01-20,4,1042
99,2014-01-20,5,790
100,2014-01-21,1,0
101,2014-01-21,2,829
102,2014-01-21,3,1074
103,2014-01-21,4,1092
104,2014-01-21,5,841
105,2014-01-22,1,0
106,2014-01-22,2,783
107,2014-01-22,3,994
108,2014-01-22,4,966
109,2014-01-22,5,709
110,2014-01-23,1,0
111,2014-01-23,2,900
112,2014-01-23,3,1129
113,2014-01-23,4,1023
114,2014-01-23,5,832
115,2014-01-24,1,0
116,2014-01-24,2,1000
117,2014-01-24,3,1279
118,2014-01-24,4,1126
119,2014-01-24,5,1204
120,2014-01-25,1,783
121,2014-01-25,2,1202
122,2014-01-25,3,1328
123,2014-01-25,4,1186
124,2014-01-25,5,1206
125,2014-01-26,1,1072
126,2014-01-26,2,1211
127,2014-01-26,3,1346
128,2014-01-26,4,1165
129,2014-01-26,5,1192
130,2014-01-27,1,0
131,2014-01-27,2,824
132,2014-01-27,3,1127
133,2014-01-27,4,879
134,2014-01-27,5,986
135,2014-01-28,1,0
136,2014-01-28,2,746
137,2014-01-28,3,1121
138,2014-01-28,4,797
139,2014-01-28,5,1056
140,2014-01-29,1,0
141,2014-01-29,2,710
142,2014-01-29,3,1041
143,2014-01-29,4,709
144,2014-01-29,5,991
145,2014-01-30,1,0
146,2014-01-30,2,612
147,2014-01-30,3,1022
148,2014-01-30,4,806
149,2014-01-30,5,1042
150,2014-01-31,1,0
151,2014-01-31,2,999
152,2014-01-31,3,1214
153,2014-01-31,4,1034
154,2014-01-31,5,1209
155,2014-02-01,1,675
156,2014-02-01,2,1193
157,2014-02-01,3,1296
158,2014-02-01,4,1197
159,2014-02-01,5,1218
160,2014-02-02,1,908
161,2014-02-02,2,1190
162,2014-02-02,3,1306
163,2014-02-02,4,1237
164,2014-02-02,5,1136
165,2014-02-03,1,0
166,2014-02-03,2,805
167,2014-02-03,3,1096
168,2014-02-03,4,981
169,2014-02-03,5,801
170,2014-02-04,1,0
171,2014-02-04,2,859
172,2014-02-04,3,1091
173,2014-02-04,4,927
174,2014-02-04,5,669
175,2014-02-05,1,0
176,2014-02-05,2,737
177,2014-02-05,3,882
178,2014-02-05,4,744
179,2014-02-05,5,708
180,2014-02-06,1,0
181,2014-02-06,2,754
182,2014-02-06,3,908
183,2014-02-06,4,797
184,2014-02-06,5,761
185,2014-02-07,1,0
186,2014-02-07,2,1095
187,2014-02-07,3,1039
188,2014-02-07,4,1030
189,2014-02-07,5,1125
190,2014-02-08,1,858
191,2014-02-08,2,1290
192,2014-02-08,3,1211
193,2014-02-08,4,1182
194,2014-02-08,5,1137
195,2014-02-09,1,928
196,2014-02-09,2,1306
